zip,donations,total,NAME,variable,estimate,moe,per_capita
20779,687,29339.599999999988,ZCTA5 20779,B01003_001,956,279,718.6192468619247
20781,5853,231033.8899999996,ZCTA5 20781,B01003_001,11460,964,510.7329842931937
20782,12863,595571.0799999984,ZCTA5 20782,B01003_001,32527,1828,395.45608263903836
20783,5720,339753.4999999998,ZCTA5 20783,B01003_001,45550,2710,125.57628979143797
20784,5749,90245.51000000014,ZCTA5 20784,B01003_001,30381,1552,189.23011092459103
20785,11413,374647.23999999976,ZCTA5 20785,B01003_001,39237,1792,290.87341030150117
20786,52,2143.299999999999,NA,NA,NA,NA,NA
20787,24,339,NA,NA,NA,NA,NA
20788,2,20,NA,NA,NA,NA,NA
20790,2,1760,NA,NA,NA,NA,NA
20791,70,2046.19,NA,NA,NA,NA,NA
20792,210,9272.24,NA,NA,NA,NA,NA
20794,2890,65081.25000000002,ZCTA5 20794,B01003_001,16956,1301,170.44114177872137
20795,77,1970,NA,NA,NA,NA,NA
20796,3,102,NA,NA,NA,NA,NA
20797,2,28,NA,NA,NA,NA,NA
20798,7,89,NA,NA,NA,NA,NA
20801,6,1104,NA,NA,NA,NA,NA
20802,47,1088.26,NA,NA,NA,NA,NA
20803,14,140,NA,NA,NA,NA,NA
20804,15,607,NA,NA,NA,NA,NA
20805,125,6799.7,NA,NA,NA,NA,NA
20806,24,436,NA,NA,NA,NA,NA
20807,7,121,NA,NA,NA,NA,NA
20810,19,2173,NA,NA,NA,NA,NA
20812,416,82029.63,ZCTA5 20812,B01003_001,323,97,1287.9256965944273
20813,8,280,NA,NA,NA,NA,NA
20814,54366,3840965.980000051,ZCTA5 20814,B01003_001,29632,1515,1834.7057235421166
20815,77637,9090681.019999975,ZCTA5 20815,B01003_001,30908,1587,2511.8739484923
20816,35071,3206491.790000002,ZCTA5 20816,B01003_001,16661,1357,2104.97569173519
20817,65357,5935171.610000005,ZCTA5 20817,B01003_001,38131,1659,1714.0122210275103
20818,3976,339569.6300000002,ZCTA5 20818,B01003_001,2072,451,1918.918918918919
20820,1,20,NA,NA,NA,NA,NA
20822,1,5,NA,NA,NA,NA,NA
20823,2,50,NA,NA,NA,NA,NA
20824,474,28802.58,NA,NA,NA,NA,NA
20825,553,11115.52,NA,NA,NA,NA,NA
20826,27,1062,NA,NA,NA,NA,NA
20827,182,12166.57,NA,NA,NA,NA,NA
20828,2,12,NA,NA,NA,NA,NA
20830,139,1310,NA,NA,NA,NA,NA
20832,15646,505974.4099999999,ZCTA5 20832,B01003_001,25427,1426,615.3301608526369
20833,4572,170021.89000000042,ZCTA5 20833,B01003_001,7746,1233,590.2401239349342
20834,29,915,NA,NA,NA,NA,NA
20835,41,413,NA,NA,NA,NA,NA
20836,32,871.25,NA,NA,NA,NA,NA
20837,4684,155442.2500000004,ZCTA5 20837,B01003_001,6129,266,764.2356012400065
20838,448,18843.38,ZCTA5 20838,B01003_001,377,209,1188.3289124668436
20839,462,11704.82,ZCTA5 20839,B01003_001,139,139,3323.741007194245
20840,21,105,NA,NA,NA,NA,NA
20841,4010,161266.3100000001,ZCTA5 20841,B01003_001,11692,1315,342.9695518303113
20842,978,55610.649999999994,ZCTA5 20842,B01003_001,1467,233,666.6666666666666
20844,47,1252.5,NA,NA,NA,NA,NA
20845,2,100,NA,NA,NA,NA,NA
20847,11,529,NA,NA,NA,NA,NA
20848,42,757.49,NA,NA,NA,NA,NA
20849,375,4026.31,NA,NA,NA,NA,NA
20850,45289,1625183.4800000193,ZCTA5 20850,B01003_001,53522,1433,846.175404506558
20851,5030,158464.17000000016,ZCTA5 20851,B01003_001,14519,1274,346.44259246504583
20852,48307,1984718.029999996,ZCTA5 20852,B01003_001,47338,2156,1020.4698128353542
20853,19911,556389.1599999968,ZCTA5 20853,B01003_001,31510,2199,631.8946366232941
20854,55150,4750407.0800000075,ZCTA5 20854,B01003_001,49196,1953,1121.026099682901
20855,10620,442482.6699999997,ZCTA5 20855,B01003_001,15955,1470,665.6220620495143
20856,15,782,NA,NA,NA,NA,NA
20858,7,92,NA,NA,NA,NA,NA
20859,329,43985.94,NA,NA,NA,NA,NA
20860,4148,138927.70000000022,ZCTA5 20860,B01003_001,2890,771,1435.2941176470588
20861,2729,124085.48999999998,ZCTA5 20861,B01003_001,2015,592,1354.3424317617867
20862,260,16786.32,ZCTA5 20862,B01003_001,359,160,724.233983286908
20864,52,1064,NA,NA,NA,NA,NA
20865,38,1886,NA,NA,NA,NA,NA
20866,6180,175550.99000000046,ZCTA5 20866,B01003_001,16974,2024,364.08624955814776
20867,14,1045,NA,NA,NA,NA,NA
20868,451,11939.11,ZCTA5 20868,B01003_001,539,206,836.7346938775511
20869,7,305,NA,NA,NA,NA,NA
20870,9,450,NA,NA,NA,NA,NA
20871,8598,204083.8700000006,ZCTA5 20871,B01003_001,18961,1564,453.45709614471815
20872,7302,125311.22000000012,ZCTA5 20872,B01003_001,12790,1214,570.9147771696638
20873,6,225,NA,NA,NA,NA,NA
20874,22381,527915.7199999968,ZCTA5 20874,B01003_001,60258,2359,371.4195625477115
20875,256,7279.070000000001,NA,NA,NA,NA,NA
20876,9660,214333.43000000037,ZCTA5 20876,B01003_001,31703,2150,304.7030249503201
20877,15286,371444.01,ZCTA5 20877,B01003_001,37948,1745,402.8143775693054
20878,41096,1313016.679999994,ZCTA5 20878,B01003_001,63576,2164,646.4074493519568
20879,10054,219295.58000000264,ZCTA5 20879,B01003_001,26343,1585,381.6573662832631
20880,1356,52557.24000000001,ZCTA5 20880,B01003_001,530,148,2558.490566037736
20882,8651,261341.96000000025,ZCTA5 20882,B01003_001,14441,1104,599.0582369641992
20883,100,50776.7,NA,NA,NA,NA,NA
20884,42,388,NA,NA,NA,NA,NA
20885,98,2054.08,NA,NA,NA,NA,NA
20886,16207,362243.20999999874,ZCTA5 20886,B01003_001,34887,2194,464.55699830882565
20887,32,455,NA,NA,NA,NA,NA
20889,2,28,NA,NA,NA,NA,NA
20892,5,500,NA,NA,NA,NA,NA
20893,39,539,NA,NA,NA,NA,NA
20894,13,230,NA,NA,NA,NA,NA
20895,26497,1347975.3600000064,ZCTA5 20895,B01003_001,18930,1034,1399.7358689910195
20896,1962,161566.2600000002,ZCTA5 20896,B01003_001,792,130,2477.272727272727
20897,9,58,NA,NA,NA,NA,NA
20898,42,481.23,NA,NA,NA,NA,NA
20899,30,3050,ZCTA5 20899,B01003_001,284,130,105.63380281690141
20901,42989,1309525.8700000062,ZCTA5 20901,B01003_001,36802,1827,1168.1158632683007
20902,29875,1073108.0000000023,ZCTA5 20902,B01003_001,52752,2497,566.3292387018502
20903,6587,250580.09999999992,ZCTA5 20903,B01003_001,26951,1813,244.40651552818076
20904,41324,1477418.6700000064,ZCTA5 20904,B01003_001,55856,2452,739.8309939845317
20905,12733,509001.05000000366,ZCTA5 20905,B01003_001,18590,1534,684.9381387842926
20906,54095,1138991.140000007,ZCTA5 20906,B01003_001,70441,2794,767.9476441277096
20907,244,4264.09,NA,NA,NA,NA,NA
20908,26,583,NA,NA,NA,NA,NA
20910,60712,2979373.470000009,ZCTA5 20910,B01003_001,43729,1969,1388.3692743945667
20911,104,1824.23,NA,NA,NA,NA,NA
20912,38778,1936275.090000004,ZCTA5 20912,B01003_001,25118,1333,1543.8331077315072
20913,335,55972.77,NA,NA,NA,NA,NA
20914,309,7685.58,NA,NA,NA,NA,NA
20915,29,3230,NA,NA,NA,NA,NA
20916,797,5998.530000000001,NA,NA,NA,NA,NA
20917,23,1278.11,NA,NA,NA,NA,NA
20918,9,326,NA,NA,NA,NA,NA
20919,5,22,NA,NA,NA,NA,NA
20920,37,1202.4000000000003,NA,NA,NA,NA,NA
20922,1,250,NA,NA,NA,NA,NA
20923,16,527.75,NA,NA,NA,NA,NA
20925,3,150,NA,NA,NA,NA,NA
20932,10,172,NA,NA,NA,NA,NA
20939,24,152,NA,NA,NA,NA,NA
20941,1,25,NA,NA,NA,NA,NA
20950,294,5786.439999999999,NA,NA,NA,NA,NA
20952,11,148,NA,NA,NA,NA,NA
20953,258,5330.93,NA,NA,NA,NA,NA
20954,129,1389.7999999999993,NA,NA,NA,NA,NA
20960,3,215,NA,NA,NA,NA,NA
20966,1,10,NA,NA,NA,NA,NA
20971,8,101.17,NA,NA,NA,NA,NA
20972,1,69.96,NA,NA,NA,NA,NA
20974,19,2103,NA,NA,NA,NA,NA
20976,1,10,NA,NA,NA,NA,NA
20977,1,100,NA,NA,NA,NA,NA
20978,18,547.8199999999999,NA,NA,NA,NA,NA
20979,3,17,NA,NA,NA,NA,NA
20984,1,10,NA,NA,NA,NA,NA
20985,2,105,NA,NA,NA,NA,NA
20986,16,98,NA,NA,NA,NA,NA
20991,128,1591.3000000000002,NA,NA,NA,NA,NA
20992,33,642,NA,NA,NA,NA,NA
20993,1,100,NA,NA,NA,NA,NA
20994,21,895,NA,NA,NA,NA,NA
20995,10,287.20000000000005,NA,NA,NA,NA,NA
20996,31,991.72,NA,NA,NA,NA,NA
20997,4,30,NA,NA,NA,NA,NA
21001,9185,126335.17999999996,ZCTA5 21001,B01003_001,24959,891,368.00352578228296
21002,4,79,NA,NA,NA,NA,NA
21005,1513,7449.8,ZCTA5 21005,B01003_001,2724,553,555.4331864904552
21006,2,50,NA,NA,NA,NA,NA
21008,6,185,NA,NA,NA,NA,NA
21009,5538,94785.23000000004,ZCTA5 21009,B01003_001,31683,1841,174.79405359340973
21010,1196,18019.26,ZCTA5 21010,B01003_001,329,259,3635.2583586626142
21012,11344,448162.7999999995,ZCTA5 21012,B01003_001,22746,1598,498.72505055833994
21013,1809,42460.45999999997,ZCTA5 21013,B01003_001,5157,685,350.7853403141361
21014,9571,216782.57000000024,ZCTA5 21014,B01003_001,35668,1407,268.33576314904116
21015,7969,198034.8099999996,ZCTA5 21015,B01003_001,28975,1810,275.030198446937
21016,18,163.71999999999997,NA,NA,NA,NA,NA
21017,1139,18434.4,ZCTA5 21017,B01003_001,6034,713,188.7636725223732
21018,1,25,NA,NA,NA,NA,NA
21019,4,675,NA,NA,NA,NA,NA
21020,38,527,NA,NA,NA,NA,NA
21021,2,105,NA,NA,NA,NA,NA
21022,147,3757.27,NA,NA,NA,NA,NA
21023,188,7414.900000000003,NA,NA,NA,NA,NA
21024,4,140,NA,NA,NA,NA,NA
21025,4,255,NA,NA,NA,NA,NA
21027,8,300,NA,NA,NA,NA,NA
21028,777,21243.45,ZCTA5 21028,B01003_001,2609,324,297.81525488692984
21029,5070,334097.21000000037,ZCTA5 21029,B01003_001,11523,1241,439.9895860453007
21030,9939,375350.1199999992,ZCTA5 21030,B01003_001,24152,1767,411.5187148062272
21031,10,589.24,ZCTA5 21031,B01003_001,26,43,384.61538461538464
21032,5033,231805.08,ZCTA5 21032,B01003_001,7787,892,646.3336329780403
21033,43,1582,NA,NA,NA,NA,NA
21034,608,23530.29,ZCTA5 21034,B01003_001,3178,430,191.31529263687855
21035,6200,200449.85000000024,ZCTA5 21035,B01003_001,8315,783,745.640408899579
21036,1189,69995.87,ZCTA5 21036,B01003_001,2243,384,530.0936246098975
21037,9471,376584.1499999987,ZCTA5 21037,B01003_001,21134,1407,448.14043721018265
21039,9,822,NA,NA,NA,NA,NA
21040,2305,33320.56,ZCTA5 21040,B01003_001,24717,1846,93.25565400331755
21041,132,2730.9100000000003,NA,NA,NA,NA,NA
21042,28455,1050627.5999999992,ZCTA5 21042,B01003_001,42157,1972,674.9768721683231
21043,20844,686790.2499999983,ZCTA5 21043,B01003_001,46747,1981,445.8895758016557
21044,44569,1337506.6200000034,ZCTA5 21044,B01003_001,45741,2090,974.3774731641197
21045,30660,803755.2300000013,ZCTA5 21045,B01003_001,40265,1779,761.4553582515833
21046,11234,309389.19999999896,ZCTA5 21046,B01003_001,15597,1212,720.2667179585818
21047,2633,69101.56999999999,ZCTA5 21047,B01003_001,12629,1414,208.48839971494178
21048,2073,66157.87999999996,ZCTA5 21048,B01003_001,9719,893,213.29354871900404
21049,1,3,NA,NA,NA,NA,NA
21050,3563,70752.11000000012,ZCTA5 21050,B01003_001,17846,1210,199.65258321192425
21051,461,25766.14,ZCTA5 21051,B01003_001,231,105,1995.6709956709958
21052,16,551,ZCTA5 21052,B01003_001,179,86,89.3854748603352
21053,776,14091.339999999998,ZCTA5 21053,B01003_001,3134,513,247.60689215060626
21054,5833,159548.24000000028,ZCTA5 21054,B01003_001,11697,1538,498.67487389929045
21055,1,500,NA,NA,NA,NA,NA
21056,98,38413,ZCTA5 21056,B01003_001,333,262,294.2942942942943
21057,2464,65720.03000000001,ZCTA5 21057,B01003_001,4109,682,599.6592844974447
21059,10,56,NA,NA,NA,NA,NA
21060,14209,173872.13999999993,ZCTA5 21060,B01003_001,36049,1961,394.15795167688424
21061,10219,168692.45000000004,ZCTA5 21061,B01003_001,55020,2670,185.7324609233006
21062,126,856.5,NA,NA,NA,NA,NA
21064,32,688,NA,NA,NA,NA,NA
21065,1,100,NA,NA,NA,NA,NA
21067,1,100,NA,NA,NA,NA,NA
21069,15,126,NA,NA,NA,NA,NA
21071,287,8471.130000000001,ZCTA5 21071,B01003_001,454,271,632.1585903083701
21073,2,20,NA,NA,NA,NA,NA
21074,2983,55540.70000000002,ZCTA5 21074,B01003_001,14933,972,199.7589231902498
21075,8984,224807.7100000003,ZCTA5 21075,B01003_001,34939,1990,257.13386187355104
21076,6352,235382.90000000017,ZCTA5 21076,B01003_001,17947,1664,353.9310191118293
21077,85,1464.38,ZCTA5 21077,B01003_001,235,143,361.7021276595745
21078,7808,212588.47000000055,ZCTA5 21078,B01003_001,18957,745,411.87951680118164
21079,3,175,NA,NA,NA,NA,NA
21080,2,20,NA,NA,NA,NA,NA
21082,459,13343.93,ZCTA5 21082,B01003_001,608,197,754.9342105263158
21083,10,275,NA,NA,NA,NA,NA
21084,1638,29954.660000000033,ZCTA5 21084,B01003_001,7670,797,213.5593220338983
21085,2745,55980.65999999996,ZCTA5 21085,B01003_001,16318,1097,168.2191445030028
21086,3,87,NA,NA,NA,NA,NA
21087,656,20466.26,ZCTA5 21087,B01003_001,5437,505,120.6547728526761
2109,2,105,ZCTA5 02109,B01003_001,3639,471,0.5496015388843088
21090,1933,50232.64000000003,ZCTA5 21090,B01003_001,9715,1036,198.97066392177047
21092,4,74.96000000000001,NA,NA,NA,NA,NA
21093,22218,633944.1899999967,ZCTA5 21093,B01003_001,38245,1687,580.9386847953981
21094,40,17794.12,NA,NA,NA,NA,NA
21096,2,100,NA,NA,NA,NA,NA
21099,3,50,NA,NA,NA,NA,NA
21101,72,1499.5600000000002,NA,NA,NA,NA,NA
21102,3317,51923.16000000006,ZCTA5 21102,B01003_001,12043,939,275.4297102050984
21103,2,11,NA,NA,NA,NA,NA
21104,4210,99374.20000000011,ZCTA5 21104,B01003_001,6029,774,698.2915906452148
21105,28,267,ZCTA5 21105,B01003_001,0,13,Inf
21106,26,1213.24,NA,NA,NA,NA,NA
21107,2,35,NA,NA,NA,NA,NA
21108,6603,220072.7800000001,ZCTA5 21108,B01003_001,19136,1262,345.0564381270903
21109,1,40.48,NA,NA,NA,NA,NA
21111,3969,93046.8800000003,ZCTA5 21111,B01003_001,5343,693,742.841100505334
21112,1,25,NA,NA,NA,NA,NA
21113,16279,444059.96000000014,ZCTA5 21113,B01003_001,35210,2691,462.34024424879294
21114,8848,236144.47000000044,ZCTA5 21114,B01003_001,26460,1506,334.3915343915344
21115,5,108,NA,NA,NA,NA,NA
21116,21,1380.24,NA,NA,NA,NA,NA
21117,23052,657696.399999998,ZCTA5 21117,B01003_001,59663,2433,386.37011212979564
21118,6,123,NA,NA,NA,NA,NA
21120,2596,77234.65999999997,ZCTA5 21120,B01003_001,6775,680,383.1734317343173
21121,2,53,NA,NA,NA,NA,NA
21122,9609,221055.7499999993,ZCTA5 21122,B01003_001,59664,2771,161.0518905872888
21123,59,1086.37,NA,NA,NA,NA,NA
21124,3,240,NA,NA,NA,NA,NA
21127,7,283,NA,NA,NA,NA,NA
21128,1908,49255.929999999986,ZCTA5 21128,B01003_001,13967,1031,136.60771819288323
21130,7,225,ZCTA5 21130,B01003_001,104,106,67.3076923076923
21131,2873,130327.89000000012,ZCTA5 21131,B01003_001,7587,794,378.6740477131936
21132,185,6295.84,ZCTA5 21132,B01003_001,3162,626,58.50727387729285
21133,8682,146954.52000000025,ZCTA5 21133,B01003_001,32714,1926,265.39096411322373
21134,21,552,NA,NA,NA,NA,NA
21135,1,100,NA,NA,NA,NA,NA
21136,11483,323548.850000002,ZCTA5 21136,B01003_001,34347,1557,334.32323055870967
21137,2,20,NA,NA,NA,NA,NA
21139,580,10016.789999999995,NA,NA,NA,NA,NA
21140,1294,55152.62999999996,ZCTA5 21140,B01003_001,3862,452,335.0595546349042
21143,3,210,NA,NA,NA,NA,NA
21144,11718,222529.8500000001,ZCTA5 21144,B01003_001,35680,2267,328.4192825112108
21145,1,50,NA,NA,NA,NA,NA
21146,13148,487095.9399999995,ZCTA5 21146,B01003_001,27634,1534,475.79069262502713
21147,16,344.63,NA,NA,NA,NA,NA
21149,1,7.71,NA,NA,NA,NA,NA
21150,45,748,NA,NA,NA,NA,NA
21152,1796,80268.00000000007,ZCTA5 21152,B01003_001,5349,926,335.76369414843896
21153,1329,41921.91000000001,ZCTA5 21153,B01003_001,348,163,3818.9655172413795
21154,568,14000.14,ZCTA5 21154,B01003_001,6467,874,87.83052419978351
21155,578,15340.34,ZCTA5 21155,B01003_001,2363,452,244.6043165467626
21156,40,1304.9999999999998,ZCTA5 21156,B01003_001,371,156,107.8167115902965
21157,8691,202460.4400000002,ZCTA5 21157,B01003_001,38714,1415,224.4924316784626
21158,4343,99560.21000000004,ZCTA5 21158,B01003_001,20773,945,209.06946517113562
21160,285,5854.12,ZCTA5 21160,B01003_001,2615,791,108.98661567877629
21161,1036,26816.29999999997,ZCTA5 21161,B01003_001,5738,842,180.55071453468108
21162,705,11934.46,ZCTA5 21162,B01003_001,4089,466,172.41379310344828
21163,4816,171400.08000000005,ZCTA5 21163,B01003_001,6602,797,729.475916388973
21164,1,100,NA,NA,NA,NA,NA
21171,8,80,NA,NA,NA,NA,NA
21173,1,1000,NA,NA,NA,NA,NA
21174,33,228,NA,NA,NA,NA,NA
21176,2,55,NA,NA,NA,NA,NA
21200,22,110,NA,NA,NA,NA,NA
21201,6643,366729.6200000009,ZCTA5 21201,B01003_001,17534,1206,378.8639215238964
21202,6148,382084.8500000009,ZCTA5 21202,B01003_001,21880,1571,280.9872029250457
21203,167,7428.41,NA,NA,NA,NA,NA
21204,12273,511605.4999999996,ZCTA5 21204,B01003_001,21518,1258,570.359698856771
21205,1021,23248.110000000015,ZCTA5 21205,B01003_001,15900,1344,64.21383647798743
21206,6518,111044.22,ZCTA5 21206,B01003_001,51670,2198,126.14670021288948
21207,13152,198563.10000000015,ZCTA5 21207,B01003_001,50440,2781,260.74544012688347
21208,21511,700900.8699999987,ZCTA5 21208,B01003_001,35273,2207,609.8432228616789
21209,26774,644100.539999995,ZCTA5 21209,B01003_001,28621,2270,935.4669648160442
21210,25454,1443604.7700000436,ZCTA5 21210,B01003_001,16076,1123,1583.3540681761633
21211,13357,433904.2699999998,ZCTA5 21211,B01003_001,15735,803,848.8719415316174
21212,25556,1146181.100000002,ZCTA5 21212,B01003_001,33865,1962,754.6434371770264
21213,3715,75637.8300000001,ZCTA5 21213,B01003_001,30596,2339,121.42110079748987
21214,7525,156481.40000000066,ZCTA5 21214,B01003_001,21666,1457,347.318379027047
21215,10084,148706.3900000006,ZCTA5 21215,B01003_001,55081,2574,183.07583377208113
21216,3837,59446.779999999984,ZCTA5 21216,B01003_001,28733,2204,133.53983224863399
21217,6787,338081.31999999844,ZCTA5 21217,B01003_001,32830,2015,206.73164788303382
21218,31378,1018091.8099999998,ZCTA5 21218,B01003_001,46172,2131,679.589361517803
21219,1232,28739.510000000017,ZCTA5 21219,B01003_001,9454,801,130.31521049291305
21220,3341,75693.55000000031,ZCTA5 21220,B01003_001,41067,2494,81.35485913263692
21221,3250,65432.59999999995,ZCTA5 21221,B01003_001,41899,2072,77.56748371082841
21222,3776,62814.88999999995,ZCTA5 21222,B01003_001,56946,2239,66.30843255013522
21223,1598,27742.830000000005,ZCTA5 21223,B01003_001,21974,1888,72.72230818239737
21224,12042,379731.1799999997,ZCTA5 21224,B01003_001,48770,2381,246.91408652860363
21225,2446,27074.09999999997,ZCTA5 21225,B01003_001,33227,2362,73.61483131188491
21226,636,12090.19,ZCTA5 21226,B01003_001,6699,1340,94.93954321540528
21227,4190,96694.33000000005,ZCTA5 21227,B01003_001,33396,1947,125.46412744041203
21228,26381,597323.7399999986,ZCTA5 21228,B01003_001,49438,2109,533.617864800356
21229,8355,157636.48000000007,ZCTA5 21229,B01003_001,45983,2344,181.69758388969836
21230,13266,623503.7299999964,ZCTA5 21230,B01003_001,33592,1510,394.9154560609669
21231,7981,281612.8999999996,ZCTA5 21231,B01003_001,15906,975,501.7603420093046
21232,12,414.4,NA,NA,NA,NA,NA
21233,28,238,NA,NA,NA,NA,NA
21234,12937,250143.7600000003,ZCTA5 21234,B01003_001,68678,2816,188.37182212644515
21235,13,268,NA,NA,NA,NA,NA
21236,5621,122992.59000000026,ZCTA5 21236,B01003_001,37803,1711,148.6919027590403
21237,3793,79481.20000000007,ZCTA5 21237,B01003_001,31105,1958,121.94180999839254
21238,13,734,NA,NA,NA,NA,NA
21239,11716,161538.66000000044,ZCTA5 21239,B01003_001,30143,2178,388.68062236671864
21240,14,522,ZCTA5 21240,B01003_001,0,13,Inf
21241,1,25,NA,NA,NA,NA,NA
21243,10,168,NA,NA,NA,NA,NA
21244,9590,141657.7900000002,ZCTA5 21244,B01003_001,36897,2382,259.91273003225194
21245,19,176,NA,NA,NA,NA,NA
21246,26,1031,NA,NA,NA,NA,NA
21249,3,22,NA,NA,NA,NA,NA
21250,5,206,ZCTA5 21250,B01003_001,2443,399,2.046663937781416
21251,9,134,ZCTA5 21251,B01003_001,1652,353,5.447941888619854
21252,9,120,ZCTA5 21252,B01003_001,2040,211,4.411764705882353
21253,1,100,NA,NA,NA,NA,NA
21255,1,5,NA,NA,NA,NA,NA
21257,55,1454.5,NA,NA,NA,NA,NA
21261,12,135,NA,NA,NA,NA,NA
21262,2,45,NA,NA,NA,NA,NA
21265,3,1000,NA,NA,NA,NA,NA
21271,2,12,NA,NA,NA,NA,NA
21275,1,100,NA,NA,NA,NA,NA
21281,1,10,NA,NA,NA,NA,NA
21282,274,5933.99,NA,NA,NA,NA,NA
21284,171,3867.14,NA,NA,NA,NA,NA
21285,3,650,NA,NA,NA,NA,NA
21286,12808,415242.91999999946,ZCTA5 21286,B01003_001,19711,945,649.7894576632337
21287,33,1663,NA,NA,NA,NA,NA
21288,1,25,NA,NA,NA,NA,NA
2129,2,12,ZCTA5 02129,B01003_001,20504,1151,0.09754194303550527
21291,3,300,NA,NA,NA,NA,NA
21294,2,100,NA,NA,NA,NA,NA
21296,15,335.5,NA,NA,NA,NA,NA
21297,8,122,NA,NA,NA,NA,NA
21298,1,100,NA,NA,NA,NA,NA
21299,2,105,NA,NA,NA,NA,NA
2130,4,163.31,ZCTA5 02130,B01003_001,42021,2021,0.09519049998810118
21301,12,230,NA,NA,NA,NA,NA
21302,15,525,NA,NA,NA,NA,NA
21303,10,464.66,NA,NA,NA,NA,NA
21304,97,1173.9400000000005,NA,NA,NA,NA,NA
21305,1,100,NA,NA,NA,NA,NA
21306,9,73,NA,NA,NA,NA,NA
21307,7,55,NA,NA,NA,NA,NA
21308,5,103,NA,NA,NA,NA,NA
21309,3,70,NA,NA,NA,NA,NA
21310,7,120.62,NA,NA,NA,NA,NA
21311,2,34.17,NA,NA,NA,NA,NA
21312,3,210,NA,NA,NA,NA,NA
21315,5,57,NA,NA,NA,NA,NA
21316,3,125,NA,NA,NA,NA,NA
21317,3,33,NA,NA,NA,NA,NA
21318,81,2430.24,NA,NA,NA,NA,NA
21320,9,728.15,NA,NA,NA,NA,NA
21323,2,14.38,NA,NA,NA,NA,NA
21328,20,300,NA,NA,NA,NA,NA
21330,1,50,NA,NA,NA,NA,NA
21331,2,80,NA,NA,NA,NA,NA
21332,2,29,NA,NA,NA,NA,NA
21334,13,63,NA,NA,NA,NA,NA
21336,4,140,NA,NA,NA,NA,NA
2134,1,100,ZCTA5 02134,B01003_001,19552,1201,0.05114566284779051
21344,2,25,NA,NA,NA,NA,NA
21346,2,29,NA,NA,NA,NA,NA
21386,3,170,NA,NA,NA,NA,NA
21401,36733,1649639.400000007,ZCTA5 21401,B01003_001,38788,1562,947.0196968134475
21402,172,9181.1,ZCTA5 21402,B01003_001,6460,2208,26.625386996904027
21403,25115,1333098.2500000054,ZCTA5 21403,B01003_001,31218,1926,804.5038119033891
21404,217,8654.399999999998,NA,NA,NA,NA,NA
21405,1726,51961.95999999998,ZCTA5 21405,B01003_001,398,168,4336.683417085427
21406,5,850,NA,NA,NA,NA,NA
21407,1,1010,NA,NA,NA,NA,NA
21408,135,263,NA,NA,NA,NA,NA
21409,11407,445531.4299999982,ZCTA5 21409,B01003_001,19304,1092,590.9138002486532
21410,2,100,NA,NA,NA,NA,NA
21412,6,91.07,NA,NA,NA,NA,NA
21428,21,210,NA,NA,NA,NA,NA
21430,1,40,NA,NA,NA,NA,NA
21442,1,150,NA,NA,NA,NA,NA
21491,22,660,NA,NA,NA,NA,NA
21493,6,133,NA,NA,NA,NA,NA
21498,3,130,NA,NA,NA,NA,NA
21501,45,625,NA,NA,NA,NA,NA
21502,7293,116830.50000000042,ZCTA5 21502,B01003_001,41735,1027,174.74541751527494
21503,18,648.06,NA,NA,NA,NA,NA
21504,2,50,NA,NA,NA,NA,NA
21509,17,970,NA,NA,NA,NA,NA
2152,1,25,ZCTA5 02152,B01003_001,18558,25,0.05388511693070373
21520,197,8828.130000000001,ZCTA5 21520,B01003_001,2003,391,98.3524712930604
21521,53,890.1600000000001,ZCTA5 21521,B01003_001,1183,238,44.80135249366018
21523,6,46,ZCTA5 21523,B01003_001,180,88,33.333333333333336
21524,5,7,ZCTA5 21524,B01003_001,831,274,6.016847172081829
21529,33,886,ZCTA5 21529,B01003_001,467,137,70.66381156316918
21530,475,11216.91,ZCTA5 21530,B01003_001,1923,385,247.00988039521582
21531,191,4804.52,ZCTA5 21531,B01003_001,1744,266,109.5183486238532
21532,1754,43536.08000000003,ZCTA5 21532,B01003_001,14498,670,120.982204441992
21533,3,55.239999999999995,NA,NA,NA,NA,NA
21536,466,10208.63,ZCTA5 21536,B01003_001,3984,466,116.96787148594377
21538,17,85,ZCTA5 21538,B01003_001,525,209,32.38095238095238
21539,28,785.4200000000001,ZCTA5 21539,B01003_001,2664,430,10.510510510510512
21540,1,56.18,ZCTA5 21540,B01003_001,90,52,11.11111111111111
21541,381,19362.08,ZCTA5 21541,B01003_001,1536,325,248.046875
21545,55,972.24,ZCTA5 21545,B01003_001,1771,252,31.055900621118013
21550,1946,54859.00000000003,ZCTA5 21550,B01003_001,14327,626,135.82745864451735
21555,229,5493.5,ZCTA5 21555,B01003_001,1501,271,152.5649566955363
21557,71,1640.1999999999998,ZCTA5 21557,B01003_001,1592,434,44.597989949748744
21560,8,127.17,NA,NA,NA,NA,NA
21561,752,17515.689999999995,ZCTA5 21561,B01003_001,2392,321,314.38127090301003
21562,202,2810.76,ZCTA5 21562,B01003_001,3426,653,58.96088733216579
21565,2,8,NA,NA,NA,NA,NA
21574,3,110,NA,NA,NA,NA,NA
21591,1,1,NA,NA,NA,NA,NA
21592,5,63,NA,NA,NA,NA,NA
21601,15791,628699.1599999968,ZCTA5 21601,B01003_001,23338,634,676.6218184934442
21602,26,529,NA,NA,NA,NA,NA
21604,1,25,NA,NA,NA,NA,NA
